-------------------------------------------------------------------------------------------------------------------
جدول أسرار وفضائل ومقاصد سور القرآن الكريم كاملاً (114 سورة) - النسخة الموثقة   
-------------------------------------------------------------------------------------------------------------------

ملاحظة هامة جداً: تم مراجعة وتنقية هذا الجدول بالكامل بميزان علم الحديث الشريف.
تم الاعتماد حصرياً على الأحاديث الصحيحة والحسنة الثابتة في السُنّة المطهرة (كالبخاري ومسلم والترمذي والألباني).
بالنسبة للسور التي لم يصح فيها حديث مرفوع خاص بفضائلها، تم صياغة خلاصتها ومقاصدها بناءً على المعتمد 
في كتب التفسير الرصينة (كابن كثير والسعدي) لبيان أسرارها ومحورها التوحيدي دون إدراج أي مرويات واهية أو مكذوبة.

-------------------------------------------------------------------------------------------------------------------
رقم السورة   | اسم السورة           | سر السورة ومكانتها ومقاصدها (صحيحة وموثقة بنسبة 100%)
[085]        | البروج             | سورة العقيدة والثبات الراسخ على الدين والتوحيد في وجه أشد أنواع الظلم والاضطهاد كقصة أصحاب الأخدود. تبث الطمأنينة أن الله شهيد على كل شيء وأن بطش ربك لشديد، وتؤكد على شرف ومكانة هذا القرآن العظيم المحفوظ في لوح محفوظ من كل تغيير.
[086]        | الطارق             | سورة القسم بالنجم الثاقب والشهاب اللامع؛ تذكر الإنسان بأصل خلقه من ماء دافق لتثبت وتؤكد قدرة الخالق على رجعه وبعثه تارة أخرى. تبين أن يوم القيامة هو يوم تبلى فيه السرائر وتنكشف خفايا القلوب، وأن القرآن قول فصل ليس بالهزل ولا باللعب.
[087]        | الأعلى             | سورة الذكر والتسبيح؛ كان النبي صلى الله عليه وسلم يحبها ويقرأها كثيراً في العيدين والجمعة والوتر تبركاً بمعانيها العالية ونزول الوحي بالتيسير التام وحفظ القرآن: سنقرئك فلا تنسى، وتفتح باب النجاح الحقيقي: قد أفلح من تزكى وذكر اسم ربه فصلى.
[088]        | الغاشية            | سورة الوجوه الخاشعة الذليلة والوجوه الناعمة الراضية؛ تصف أهوال يوم القيامة وتفصل نعيم أهل الجنة في جنة عالية لا تسمع فيها لاغية. توجه العقل للتفكر في الإبل، والسماء، الجبال، والأرض، وتذكر النبي بأنه مذكر وليس بمسيطر على النفوس.
[089]        | الفجر              | سورة الليالي العشر المباركة والنفس المطمئنة؛ تفتتح بأقسام الفجر واليالي العشر المؤثرة وعاقبة الطغاة كعاد وثمود وفرعون. تختتم بنهاية ساحرة تملأ القلوب شوقاً وطمأنينة بنداء الله لروح المؤمن: يا أيتها النفس المطمئنة ارجعي إلى ربك راضية مرضية.
[090]        | البلد              | سورة الكبد البشري ومكابدة مشاق الحياة؛ تذكر الإنسان بخلقه في تعب ليعلم أن الراحة الحقيقية ليست في الدنيا الخادعة. ترسم طريق الفوز واقتحام عقبة الآخرة الشديدة بإطعام الجوعى وفك الرقاب وملازمة الصبر والمرحمة ليكون من أصحاب الميمنة.
[091]        | الشمس              | سورة أطول الأقسام المتتالية في القرآن لترسيخ حقيقة واحدة خطيرة تمس مصير الإنسان. تتجلى في المعادلة النفسية الفاصلة لبناء الذات وتزكيتها: قد أفلح من زكاها وقد خاب من دساها، لتجعل العبد مسؤولاً تماماً عن طهارة قلبه ونفسه وسلوكه.
[092]        | الليل              | سورة السعي البشري المتنوع وعاقبة العمل؛ تقسم بالليل والنهار لتبين أن سعي العباد لشتى ومفترق، وتضع مفتاح التيسير الإلهي لليسرى والخير: فأما من أعطى واتقى وصدق بالحسنى فسنيسره لليسرى، وتبشر الأتقى بالرضا والسرور والجزاء العظيم الباقي.
[093]        | الضحى              | سورة اللطف والمواساة والوداد الإلهي؛ نزلت لتطمئن قلب النبي صلى الله عليه وسلم بعد انقطاع الوحي وتمسح الحزن عن صدره الشريف. تطرد الضيق والهم عن نفس قارئها بوعد الله القاطع: وللآخرة خير لك من الأولى ولسوف يعطيك ربك فترضى وتطيب نفسك.
[094]        | الشرح              | سورة الشرح واليسر المتلازم مع العسر؛ تفيض بمعاني الامتنان بإنزال السكينة وشرح الصدر ووضع الأوزار الثقيلة عن كاهل النبي الشريف. وتضع القاعدة الذهبية التي تفرج كل كرب وتزيل كل ضيق عن النفوس: فإن مع العسر يسراً إن مع العسر يسراً.
[095]        | التين              | سورة التكريم الإنساني والخلق القويم؛ تقسم بالبقاع المباركة لتؤكد خلق الإنسان في أحسن تقويم وأبهى صورة. تحذر من الانتكاس الإيماني والخلقي الذي يورد العبد أسفل سافلين، وتبين أن حسن الثواب والآجر غير الممنون هما للمؤمنين الصالحين.
[096]        | العلق              | سورة القلم والقراءة وبداية بزوغ نور الإسلام العظيم؛ تحتوي على الآيات الخمس الأولى التي نزلت في غار حراء أمراً بالعلم والتعلم باسم الرب الخالق، وفي خاتمتها تمنح المؤمن أعظم سر للقرب ونيل الأمان: كلا لا تطعه واسجد واقترب لتنال الرضا.
[097]        | القدر              | سورة الليلة العظيمة النورانية المباركة التي تفوق في فضلها وثوابها العبادة في ألف شهر؛ نزلت تكريماً للقرآن العظيم ونزوله جملة واحدة إلى السماء الدنيا. تبث الشوق والحرص لالتماس ليلة القدر المباركة والعيش في رحاب سلامها وأمنها حتى مطلع الفجر.
[098]        | البينة             | سورة الوضوح والبرهان الساطع على صدق الرسالة الإسلامية الخالدة وبطلان معتقدات الشرك والتفرق بعد مجيء البينة متمثلة في رسول من الله يتلو صحفاً مطهرة. أمر الله النبي أن يقرأها على أبيّ بن كعب بالاسم تكريماً، وتبين أن خير البرية هم المؤمنون الصالحون.
[099]        | الزلزلة            | سورة الجدية الكبرى والعدالة اللامتناهية؛ تصف زلزلة الأرض وإخراج أثقالها يوم القيامة وتحديثها بأخبارها بأن ربك أوحى لها. تنبه القلوب لميزان الذرة الحاسم يوم الحساب: فمن يعمل مثقال ذرة خيراً يره ومن يعمل مثقال ذرة شراً يره فلا يضيع شيء.
[100]        | العاديات           | سورة الخيل المغيرة المشحونة بالقوة والحركة؛ تقسم بضبح الخيل ونقدح نيران حوافرها لتهز المشاعر وتلفت الانتباه لطبيعة النفس البشرية الكنودة الجحودة للنعم والمحبة الشديدة للمال، وتدعو لبعثرة القبور وتحصيل ما في الصدور استعداداً للحساب العادل.
[101]        | القارية            | سورة القارعة الشديدة التي تقرع القلوب بأهوالها وتغير أحوال العالم لتجعل الناس كالفراش المبثوث والجبال كالعهن المنفوش. تبين ميزان الآخرة الحقيقي القائم على ثقل الموازين بالخيرات؛ فمن ثقلت موازينه فهو في عيشة راضية ومن خفت فمأواه الهاوية.
[102]        | التكاثر            | سورة الإيقاظ والتحذير الصارم من فتنة الإلهاء الدنيوي والجري خلف التكاثر في الأموال والأولاد والمناصب حتى مباغتة المقابر والموت. يتكرر فيها الوعيد لقطع حبال الغفلة والتنبيه العارم إلى أن العبد سيُسأل يوم القيامة عن كل نعيم دنيوي تنعم به في حياته.
[103]        | العصر              | سورة الميزان والربح والخسارة الإنسانية الشاملة؛ قال عنها الشافعي لو ما نزل غيرها لكفت الناس بحكمتها. تحصر النجاة من الخسران الحتمي في أربعة أركان متلازمة ومترابطة: الإيمان الصادق، والعمل الصالح، والتواصي بالحق، والتواصي بالصبر الجميل.
[104]        | الهمزة             | سورة الحفظ اللساني والتحذير الشديد من الغيبة، والنميمة، واللمز، والسخرية من الناس، والتعالي بجمع المال وعده والغرور به. تصون المجتمع من التمزق الأخلاقي، وتنذر المتكبرين بنار الله الموقدة التي تطلع على الأفئدة لشدة قُبح وعِظم صنيعهم.
[105]        | الفيل              | سورة الحفظ الإلهي للبيت الحرام وإبطال كيد المتكبرين؛ تستعرض قصة هلاك أبرهة الأشرم وجيشه بطير أبابيل رمتهم بحجارة من سجيل. تبث الطمأنينة المطلقة في القلوب بأن لله بيتاً يحميه ودينًا ينصره، وأن كيد الظالمين مهما عظم سينتهي بجعله كعصف مأكول.
[106]        | قريش               | سورة الألفة والنعمة وبركة الأمن والرزق؛ تذكر نعم الله برحلتي الشتاء والصيف وتأمين السبل والبلاد لقريش. توجه العباد لمعرفة المنعم وملازمة عبادته وحده شكرًا على أعظم نعمتين تقوم بهما الحياة والحضارات: الإطعام من جوع والأمان والوقاية من الخوف.
[107]        | الماعون            | سورة الدين الحقيقي والترابط الاجتماعي؛ تكشف صفات المكذب بالدين وتجعل قسوة القلب على اليتيم والمسكين علامة عليه. تحذر بشدة من السهو عن الصلاة والرياء ومنع الماعون والمساعدة، وتربط العبادة الصادقة بحسن الخلق والرحمة بالضعفاء والمحتاجين.
[108]        | الكوثر             | أقصر سور القرآن الكريم وأعظمها بشارة ومواساة لقلب النبي صلى الله عليه وسلم؛ نزلت رداً على من اتهمه بانقطاع ذكره بعد موت أولاده. تبشره بإعطائه الكوثر والخير الكثير الخالد في الدنيا والآخرة، وتعد بقطع دابر وبتر كل من أبغضه وعاداه وعادى سنته.
[109]        | الكافرون           | سورة البراءة التامة من الشرك وأهله، وتعدل ربع القرآن الكريم في عظم منزلتها؛ كان النبي صلى الله عليه وسلم يفتتح بها وبالإخلاص يومه في ركعتي الفجر ويختم بها ليلته في الوتر لترسيخ التوحيد النقي وقطع الأطماع في مداهنة الباطل: لكم دينكم ولي دين.
[110]        | النصر              | سورة التوديع والبشارة بدخول الناس في دين الله أفواجاً؛ وهي آخر سورة نزلت كاملة نعت للنبي قرب أجله. تعلم الأمة أدب الختام والتمكين؛ فعند حصول النصر والفتح يلتجئ العبد لربه بالتسبيح، والحمد، والاستغفار الشامل تذللاً وشكراً للخالق المنان.
[111]        | المسد              | سورة العدالة الإلهية النافذة ودفاع الله عن نبيه؛ نزلت رداً على أبي لهب وزوجته اللذين آذيا النبي صلى الله عليه وسلم. وتؤكد أن النسب والقرابة لا ينفعان صاحبهما إذا كفر بالحق وعاداه، وتظل آياتها معجزة شاهدة على هلاك المكذبين ودعاة الباطل.
[112]        | الإخلاص            | سورة التوحيد الصافي وثلث القرآن الكريم في المنزلة والثواب العظيم؛ من قرأها ثلاثاً كأنما قرأ القرآن كله، وحبها موجب لدخول الجنة برضا الرحمن. تصف رب العزة بالصمدية والأحدية وتنزهه تبارك وتعالى عن الولد والشريك والكفء والمثل.
[113]        | الفلق              | أحد المعوذتين اللتين قلما تعوذ متعوذ بمثلهما، تكفي القارئ وتحفظه من كل شر إذا قرأها مع الإخلاص والناس ثلاثاً صباحاً ومساءً. رقية ربانية تحفظ العبد من الشرور الخارجية: شر ما خلق، وشر غاسق إذا وقب، وشر النفاثات في العقد، ومن شر حاسد إذا حسد.
[114]        | الناس              | المعوذة الثانية ومسك ختام كتاب الله تبارك وتعالى؛ ملجأ العبد وتحصينه الشامل من وساوس الصدور والأفكار والشرور الداخلية. تسجير برب الناس ملكهم وإلههم ليحمي عقل العبد وقلبه وفكره من وسوسة شياطين الإنس والجن، ليعيش المؤمن في سلام وطمأنينة دائمين.
